Sequence,Domain,Model,ModelType,Class,ClassDescription,Attribute,AttributeDescription,DataType,Context,SubContext,Nulls,IsPK,Relationship,FromClass,FromAttribute,FromCardinality,ToClass,ToAttribute,ToCardinality
871,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDTAXPOSITIONTP,The CDTAXPOSITIONTP table captures information about the relative tax position offered by a product. This table is used by the following domain. v Product Domain ,NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
872,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDTAXPOSITIONTP,The CDTAXPOSITIONTP table captures information about the relative tax position offered by a product. This table is used by the following domain. v Product Domain ,DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
873,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDTAXPOSITIONTP,The CDTAXPOSITIONTP table captures information about the relative tax position offered by a product. This table is used by the following domain. v Product Domain ,EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
874,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDTAXPOSITIONTP,The CDTAXPOSITIONTP table captures information about the relative tax position offered by a product. This table is used by the following domain. v Product Domain ,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
875,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDTAXPOSITIONTP,The CDTAXPOSITIONTP table captures information about the relative tax position offered by a product. This table is used by the following domain. v Product Domain ,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
876,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDTERMINATIONREASONTP,"The CDTERMINATIONREASONTP table stores termination reasons for an agreement. For example, ""Agreement terms & conditions violation"" in the case of a value package breakage. This table is used by the following domain. v Account Domain ",LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
877,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDTERMINATIONREASONTP,"The CDTERMINATIONREASONTP table stores termination reasons for an agreement. For example, ""Agreement terms & conditions violation"" in the case of a value package breakage. This table is used by the following domain. v Account Domain ",TERMINATION_REASON_TP_CD,"Describes the reason why the contract is terminated. For example : ""Terms & Conditions violated"", ""Core account closed by owner""",BIGINT,,,Not Null,Yes,,,,,,,
878,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDTERMINATIONREASONTP,"The CDTERMINATIONREASONTP table stores termination reasons for an agreement. For example, ""Agreement terms & conditions violation"" in the case of a value package breakage. This table is used by the following domain. v Account Domain ",NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
879,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDTERMINATIONREASONTP,"The CDTERMINATIONREASONTP table stores termination reasons for an agreement. For example, ""Agreement terms & conditions violation"" in the case of a value package breakage. This table is used by the following domain. v Account Domain ",DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
880,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDTERMINATIONREASONTP,"The CDTERMINATIONREASONTP table stores termination reasons for an agreement. For example, ""Agreement terms & conditions violation"" in the case of a value package breakage. This table is used by the following domain. v Account Domain ",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
881,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDTERMINATIONREASONTP,"The CDTERMINATIONREASONTP table stores termination reasons for an agreement. For example, ""Agreement terms & conditions violation"" in the case of a value package breakage. This table is used by the following domain. v Account Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
882,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDUNDELREASONTP,"The CDUNDELREASONTP table contains information on the valid values for the undeliverable reason type code. For example, bad addresses, incorrect zip code, and so on. This table is used by the following domain. v Party Domain ",LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
883,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDUNDELREASONTP,"The CDUNDELREASONTP table contains information on the valid values for the undeliverable reason type code. For example, bad addresses, incorrect zip code, and so on. This table is used by the following domain. v Party Domain ",UNDEL_REASON_TP_CD,"Identifies the reason for not using a particular address. Some example values are ""returned mail"", ""change in ZIP code"", and so forth.",BIGINT,,,Not Null,Yes,,,,,,,
884,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDUNDELREASONTP,"The CDUNDELREASONTP table contains information on the valid values for the undeliverable reason type code. For example, bad addresses, incorrect zip code, and so on. This table is used by the following domain. v Party Domain ",NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
885,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDUNDELREASONTP,"The CDUNDELREASONTP table contains information on the valid values for the undeliverable reason type code. For example, bad addresses, incorrect zip code, and so on. This table is used by the following domain. v Party Domain ",DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
886,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDUNDELREASONTP,"The CDUNDELREASONTP table contains information on the valid values for the undeliverable reason type code. For example, bad addresses, incorrect zip code, and so on. This table is used by the following domain. v Party Domain ",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
887,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDUNDELREASONTP,"The CDUNDELREASONTP table contains information on the valid values for the undeliverable reason type code. For example, bad addresses, incorrect zip code, and so on. This table is used by the following domain. v Party Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
888,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDUSERROLETP,Code Table for storing User Role Types. Each Type specific functions/data that a user can use within the application ,LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
889,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDUSERROLETP,Code Table for storing User Role Types. Each Type specific functions/data that a user can use within the application ,USER_ROLE_TP_CD,The type code uniquely identifying the user role.,BIGINT,,,Not Null,Yes,,,,,,,
890,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDUSERROLETP,Code Table for storing User Role Types. Each Type specific functions/data that a user can use within the application ,NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
891,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDUSERROLETP,Code Table for storing User Role Types. Each Type specific functions/data that a user can use within the application ,DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
892,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDUSERROLETP,Code Table for storing User Role Types. Each Type specific functions/data that a user can use within the application ,EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
893,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDUSERROLETP,Code Table for storing User Role Types. Each Type specific functions/data that a user can use within the application ,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
894,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CHARGECARD,"The CHARGECARD table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",PAYMENT_SOURCE_ID,"A unique, system-generated key that identifies a payment source in the system.",BIGINT,,,Not Null,Yes,,,,,,,
895,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CHARGECARD,"The CHARGECARD table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",CHARGE_CARD_TP_CD,"Identifies one type of charge card from another. Some examples are Visa, MasterCard, or American Express.",BIGINT,,,Not Null,No,,,,,,,
896,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CHARGECARD,"The CHARGECARD table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",CHARGE_CARD_NUM,The number that uniquely identifies a charge card.,VARCHAR(30),,,Not Null,No,,,,,,,
897,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CHARGECARD,"The CHARGECARD table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",EXPIRY_DT,The date that the charge card will expire.,TIMESTAMP,,,Not Null,No,,,,,,,
898,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CHARGECARD,"The CHARGECARD table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",ON_CARD_NAME,The account name of the charge card exactly as it appears on the charge card.,VARCHAR(100),,,Null,No,,,,,,,
899,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CHARGECARD,"The CHARGECARD table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",BANK_NUM,"A unique identifier for the bank that issued the chargecard, assigned outside of the system.",VARCHAR(10),,,Null,No,,,,,,,
900,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CHARGECARD,"The CHARGECARD table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
901,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CHARGECARD,"The CHARGECARD table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
902,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CHARGECARD,"The CHARGECARD table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
903,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",CLAIM_ID,"A unique, system-generated key that identifies a claim in the system.",BIGINT,,,Not Null,Yes,,,,,,,
904,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",ADMIN_REF_NUM,The reference identification number for the claim record.,VARCHAR(150),,,Null,No,,,,,,,
905,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",CLAIM_NUMBER,"The Claim Number, a unique, assigned number, distinguishes one claim from all other claims.",VARCHAR(20),,,Null,No,,,,,,,
906,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",CLAIM_DETAIL_AMT,The value of the claim detail.,"DECIMAL(17,3)",,,Null,No,,,,,,,
907,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",CLAIM_PAID_AMT,The amount paid on the claim.,"DECIMAL(17,3)",,,Null,No,,,,,,,
908,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",OUTSTANDING_AMT,The amount that is to be paid on the claim.,"DECIMAL(17,3)",,,Null,No,,,,,,,
909,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",BENEFIT_CLAIM_AMT,The maximum amount that can be paid on a claim.,"DECIMAL(17,3)",,,Null,No,,,,,,,
910,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",CLAIM_TP_CD,"Identifies the type of claim that is recorded. Some examples include Fire, Theft, Automobile, Collision, and so forth.",BIGINT,,,Not Null,No,,,,,,,
911,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",LOB_TP_CD,"Identifies the unique type code for a specific line of business. Some examples are Life, Annuity, Disability, or Auto and Home.",BIGINT,,,Null,No,,,,,,,
912,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",CLAIM_STATUS_TP_CD,"Identifies the status of a claim. Some examples include Pending, Closed, and Rejected.",BIGINT,,,Null,No,,,,,,,
913,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",CLAIM_CODE,"A code that identifies the procedure or claim service. For example, Orthodontics procedure code is D8000.",VARCHAR(20),,,Null,No,,,,,,,
914,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",STATUS_DT,The date that the claim status was updated.,TIMESTAMP,,,Null,No,,,,,,,
915,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",CLAIM_INCURRED_DT,The date that the claim was incurred.,TIMESTAMP,,,Null,No,,,,,,,
916,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",REPORTED_DT,The date that the claim was reported.,TIMESTAMP,,,Null,No,,,,,,,
917,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",DESCRIPTION,Description provides extra information about the claim.,VARCHAR(255),,,Null,No,,,,,,,
918,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
919,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
920,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
921,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",DETLAMT_CUR_TP,The currency type for the claim detail amount.,BIGINT,,,Null,No,,,,,,,
922,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",PAIDAMT_CUR_TP,The currency type for the total claim benefit amount.,BIGINT,,,Null,No,,,,,,,
923,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",OUTSAMT_CUR_TP,The currency type for the outstanding amount.,BIGINT,,,Null,No,,,,,,,
924,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIM,"The CLAIM table contains claim information for coverage types that can be insured in a contract. For example: ""Auto Claim"", or ""break-in"". This table is used by the following domains. v Account Domain v Party Domain Chapter 1. Tables 101",BENEAMT_CUR_TP,The currency type for the Benefit Claim amount.,BIGINT,,,Null,No,,,,,,,
925,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMCONTRACT,"The CLAIMCONTRACT table contains a record of claims against a contract. For example, Automobile, Homeowners and Whole Life insurance policies. This table is used by the following domains. v Account Domain v Party Domain ",CLAIM_CONTR_ID,"A unique, system-generated key that identifies a claim agreement in the system.",BIGINT,,,Not Null,Yes,,,,,,,
926,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMCONTRACT,"The CLAIMCONTRACT table contains a record of claims against a contract. For example, Automobile, Homeowners and Whole Life insurance policies. This table is used by the following domains. v Account Domain v Party Domain ",CLAIM_ID,"A unique, system-generated key that identifies a claim in the system.",BIGINT,,,Not Null,No,,,,,,,
927,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMCONTRACT,"The CLAIMCONTRACT table contains a record of claims against a contract. For example, Automobile, Homeowners and Whole Life insurance policies. This table is used by the following domains. v Account Domain v Party Domain ",CONTRACT_ID,"A unique, system-generated key that identifies a contract in the system.",BIGINT,,,Not Null,No,,,,,,,
928,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMCONTRACT,"The CLAIMCONTRACT table contains a record of claims against a contract. For example, Automobile, Homeowners and Whole Life insurance policies. This table is used by the following domains. v Account Domain v Party Domain ",DESCRIPTION,Provides extra space for information that can be used for an additional definition or as free form comments to provide further meaning.,VARCHAR(255),,,Null,No,,,,,,,
929,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMCONTRACT,"The CLAIMCONTRACT table contains a record of claims against a contract. For example, Automobile, Homeowners and Whole Life insurance policies. This table is used by the following domains. v Account Domain v Party Domain ",START_DT,The date when this record becomes active.,TIMESTAMP,,,Not Null,No,,,,,,,
930,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMCONTRACT,"The CLAIMCONTRACT table contains a record of claims against a contract. For example, Automobile, Homeowners and Whole Life insurance policies. This table is used by the following domains. v Account Domain v Party Domain ",END_DT,The date when this record becomes inactive.,TIMESTAMP,,,Null,No,,,,,,,
931,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMCONTRACT,"The CLAIMCONTRACT table contains a record of claims against a contract. For example, Automobile, Homeowners and Whole Life insurance policies. This table is used by the following domains. v Account Domain v Party Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
932,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMCONTRACT,"The CLAIMCONTRACT table contains a record of claims against a contract. For example, Automobile, Homeowners and Whole Life insurance policies. This table is used by the following domains. v Account Domain v Party Domain ",LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
933,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMCONTRACT,"The CLAIMCONTRACT table contains a record of claims against a contract. For example, Automobile, Homeowners and Whole Life insurance policies. This table is used by the following domains. v Account Domain v Party Domain ",LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
934,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMROLE,"The CLAIMROLE table contains information on the role a party plays on a claim record. For example, Party 1 reported the broken windshield, Party 2 is at fault. This table is used by the following domains. v Account Domain v Party Domain",CLAIM_ROLE_ID,"A unique, system-generated key that identifies a claim detail role in the system.",BIGINT,,,Not Null,Yes,,,,,,,
935,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMROLE,"The CLAIMROLE table contains information on the role a party plays on a claim record. For example, Party 1 reported the broken windshield, Party 2 is at fault. This table is used by the following domains. v Account Domain v Party Domain",CLAIM_ROLE_TP_CD,"Identifies a type of role a party plays on a claim. Some examples include Claimant, Witness and Third Party.",BIGINT,,,Not Null,No,,,,,,,
936,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMROLE,"The CLAIMROLE table contains information on the role a party plays on a claim record. For example, Party 1 reported the broken windshield, Party 2 is at fault. This table is used by the following domains. v Account Domain v Party Domain",CONT_ID,"A unique, system-generated key that identifies a party in the system.",BIGINT,,,Not Null,No,,,,,,,
937,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMROLE,"The CLAIMROLE table contains information on the role a party plays on a claim record. For example, Party 1 reported the broken windshield, Party 2 is at fault. This table is used by the following domains. v Account Domain v Party Domain",CLAIM_ID,"A unique, system-generated key that identifies a claim in the system.",BIGINT,,,Not Null,No,,,,,,,
938,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMROLE,"The CLAIMROLE table contains information on the role a party plays on a claim record. For example, Party 1 reported the broken windshield, Party 2 is at fault. This table is used by the following domains. v Account Domain v Party Domain",DESCRIPTION,Provides extra information.,VARCHAR(255),,,Null,No,,,,,,,
939,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMROLE,"The CLAIMROLE table contains information on the role a party plays on a claim record. For example, Party 1 reported the broken windshield, Party 2 is at fault. This table is used by the following domains. v Account Domain v Party Domain",START_DT,"The date that the claim role record became effective, or was recorded.",TIMESTAMP,,,Not Null,No,,,,,,,
940,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMROLE,"The CLAIMROLE table contains information on the role a party plays on a claim record. For example, Party 1 reported the broken windshield, Party 2 is at fault. This table is used by the following domains. v Account Domain v Party Domain",END_DT,The date that the claim role record is no longer effective.,TIMESTAMP,,,Null,No,,,,,,,
941,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMROLE,"The CLAIMROLE table contains information on the role a party plays on a claim record. For example, Party 1 reported the broken windshield, Party 2 is at fault. This table is used by the following domains. v Account Domain v Party Domain",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
942,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMROLE,"The CLAIMROLE table contains information on the role a party plays on a claim record. For example, Party 1 reported the broken windshield, Party 2 is at fault. This table is used by the following domains. v Account Domain v Party Domain",LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
943,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CLAIMROLE,"The CLAIMROLE table contains information on the role a party plays on a claim record. For example, Party 1 reported the broken windshield, Party 2 is at fault. This table is used by the following domains. v Account Domain v Party Domain",LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
944,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONDITIONATTRIBUTE,"The CONDITIONATTRIBUTE table records attributes that are added to the TermCondition Entity. The attribues are functionally ""executable"" and are used by business rules to enforce the condition or to perform a calculation described by the condition. This table is used by the following domains. v Account Domain v Product Domain 104 InfoSphere MDM 11.3: MDM Physical Data Dictionary",CONDITION_ATTRIBUTE_ID,"A unique, system-generated key that identifies a Condition Attribute in the system.",BIGINT,,,Not Null,Yes,,,,,,,
945,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONDITIONATTRIBUTE,"The CONDITIONATTRIBUTE table records attributes that are added to the TermCondition Entity. The attribues are functionally ""executable"" and are used by business rules to enforce the condition or to perform a calculation described by the condition. This table is used by the following domains. v Account Domain v Product Domain 104 InfoSphere MDM 11.3: MDM Physical Data Dictionary",CONDITION_ATTR_TP_CD,Serves to group condition attributes and allows another level of detail.,BIGINT,,,Not Null,No,,,,,,,
